Logging to /home/admin2/svjdm/experiments/ablation_structure_20260309.log

############################################################
# Training-Strategy Ablation — d = 50
############################################################

============================================================
  Adam + Constant LR
============================================================
  Epoch    0 | Loss 9.0231e-01 | Y0 0.001000 | 0.5s
  Epoch  100 | Loss 1.5042e-02 | Y0 0.070415 | 21.2s
  Epoch  200 | Loss 7.8551e-03 | Y0 0.082790 | 41.7s
  Epoch  300 | Loss 7.5790e-03 | Y0 0.084140 | 62.4s
  Epoch  400 | Loss 6.2160e-03 | Y0 0.083724 | 82.9s
  Epoch  500 | Loss 5.8636e-03 | Y0 0.083274 | 103.5s
  Epoch  600 | Loss 5.5426e-03 | Y0 0.083683 | 124.1s
  Epoch  700 | Loss 5.0349e-03 | Y0 0.083845 | 144.6s
  Epoch  800 | Loss 4.5062e-03 | Y0 0.082827 | 165.2s
  Epoch  900 | Loss 4.3406e-03 | Y0 0.083706 | 185.8s
  Epoch 1000 | Loss 3.8068e-03 | Y0 0.083794 | 206.4s
  Epoch 1100 | Loss 3.7094e-03 | Y0 0.083704 | 226.9s
  Epoch 1200 | Loss 3.3640e-03 | Y0 0.084082 | 247.5s
  Epoch 1300 | Loss 3.3044e-03 | Y0 0.083042 | 268.0s
  Epoch 1400 | Loss 2.9851e-03 | Y0 0.084118 | 288.6s
  Epoch 1500 | Loss 3.0765e-03 | Y0 0.084075 | 309.2s
  Epoch 1600 | Loss 2.8317e-03 | Y0 0.083496 | 329.8s
  Epoch 1700 | Loss 2.6752e-03 | Y0 0.083008 | 350.4s
  Epoch 1800 | Loss 2.5377e-03 | Y0 0.084107 | 371.0s
  Epoch 1900 | Loss 2.6971e-03 | Y0 0.083569 | 391.5s
  Epoch 2000 | Loss 2.5320e-03 | Y0 0.084261 | 412.1s
  Epoch 2100 | Loss 2.2796e-03 | Y0 0.083968 | 432.6s
  Epoch 2200 | Loss 2.2899e-03 | Y0 0.083163 | 453.1s
  Epoch 2300 | Loss 2.2463e-03 | Y0 0.083580 | 473.6s
  Epoch 2400 | Loss 2.1929e-03 | Y0 0.083744 | 494.2s
  Epoch 2500 | Loss 2.4043e-03 | Y0 0.083097 | 514.6s
  Epoch 2600 | Loss 2.3025e-03 | Y0 0.083895 | 535.1s
  Epoch 2700 | Loss 2.0659e-03 | Y0 0.084426 | 555.6s
  Epoch 2800 | Loss 1.9836e-03 | Y0 0.083740 | 576.1s
  Epoch 2900 | Loss 1.8066e-03 | Y0 0.083079 | 596.6s
  Epoch 2999 | Loss 2.1432e-03 | Y0 0.083578 | 616.9s
Training complete.  Y0 = 0.083578  (616.9s)

============================================================
  NAdam + Constant LR
============================================================
  Epoch    0 | Loss 9.0231e-01 | Y0 0.001056 | 0.3s
  Epoch  100 | Loss 1.4365e-02 | Y0 0.065521 | 22.3s
  Epoch  200 | Loss 1.0341e-02 | Y0 0.081355 | 44.3s
  Epoch  300 | Loss 9.3048e-03 | Y0 0.083405 | 66.3s
  Epoch  400 | Loss 7.4621e-03 | Y0 0.083488 | 88.3s
  Epoch  500 | Loss 6.4794e-03 | Y0 0.083656 | 110.4s
  Epoch  600 | Loss 5.7858e-03 | Y0 0.084064 | 132.4s
  Epoch  700 | Loss 5.2874e-03 | Y0 0.084085 | 154.5s
  Epoch  800 | Loss 4.5471e-03 | Y0 0.082985 | 176.5s
  Epoch  900 | Loss 4.3368e-03 | Y0 0.083492 | 198.6s
  Epoch 1000 | Loss 3.8960e-03 | Y0 0.083552 | 220.8s
